0.07 	69.0 	 19.6 
0.09 	69.0 	 12.0 
0.12 	68.6 	 26.2 
0.17 	83.0 	 8.0 
0.1791 	78.0 	 6.2 
0.1993 	78.0 	 6.9 
0.2 	72.9 	 29.6 
0.27 	77.0 	 14.0 
0.28 	88.8 	 36.6 
0.35	82.1	4.8
0.3519 	85.5 	 15.7 
0.3802 	86.2 	 14.6 
0.4 	95.0 	 17.0 
0.4004 	79.9 	 11.4 
0.4247 	90.4 	 12.8 
0.4497 	96.3 	 14.4 
0.47 	89.0 	 49.6 
0.4783 	83.8 	 10.2 
0.48 	97.0 	 62.0 
0.5929 	107.0 	 15.5 
0.6797 	95.0 	 10.5 
0.75 	98.8 	 33.6 
0.7812 	96.5 	 12.5 
0.8754 	124.5 	 17.4 
0.88 	90.0 	 40.0 
0.9 	117.0 	 23.0 
1.037 	133.5 	 17.6 
1.26	135.0	65.0
1.3 	168.0 	 17.0 
1.363 	160.0 	 33.8 
1.43 	177.0 	 18.0 
1.53 	140.0 	 14.0 
1.75 	202.0 	 40.0 
1.965 	186.5 	 50.6 
