index,lensName,survey,zl,zs,theta_E,theta_eff,theta_ap,sigma_ap,sigma_ap_err,gamma_E2022LD,gamma_E2022LD_err,gamma_E2022OL,gamma_E2022OL_err_up,gamma_E2022OL_err_low
101,b'SDSSJ1010+3124',b' S4TM',0.1668,0.4245,1.14,3.26,1.5,221.0,11.0,1e+20,1e+20,1e+20,1e+20,1e+20
102,b'SDSSJ1041+0112',b' S4TM',0.1006,0.2172,0.6,2.5,1.5,200.0,7.0,1e+20,1e+20,1e+20,1e+20,1e+20
103,b'SDSSJ1048+1313',b' S4TM',0.133,0.6679,1.18,1.9,1.5,195.0,10.0,1e+20,1e+20,1e+20,1e+20,1e+20
104,b'SDSSJ1051+4439',b' S4TM',0.1634,0.538,0.99,1.66,1.5,216.0,16.0,1e+20,1e+20,1e+20,1e+20,1e+20
105,b'SDSSJ1056+4141',b' S4TM',0.1343,0.8318,0.72,1.81,1.5,157.0,10.0,1e+20,1e+20,1e+20,1e+20,1e+20
106,b'SDSSJ1101+1523',b' S4TM',0.178,0.5169,1.18,0.89,1.5,270.0,15.0,1e+20,1e+20,1e+20,1e+20,1e+20
107,b'SDSSJ1116+0729',b' S4TM',0.1697,0.686,0.82,2.44,1.5,190.0,11.0,1e+20,1e+20,1e+20,1e+20,1e+20
108,b'SDSSJ1127+2312',b' S4TM',0.1303,0.361,1.25,2.69,1.5,230.0,9.0,1e+20,1e+20,1e+20,1e+20,1e+20
109,b'SDSSJ1137+1818',b' S4TM',0.1241,0.4627,1.29,1.79,1.5,222.0,8.0,1e+20,1e+20,1e+20,1e+20,1e+20
110,b'SDSSJ1142+2509',b' S4TM',0.164,0.6595,0.79,1.51,1.5,159.0,10.0,1e+20,1e+20,1e+20,1e+20,1e+20
111,b'SDSSJ1144+0436',b' S4TM',0.1036,0.2551,0.76,1.22,1.5,207.0,14.0,1e+20,1e+20,1e+20,1e+20,1e+20
112,b'SDSSJ1213+2930',b' S4TM',0.0906,0.5954,1.35,1.73,1.5,232.0,7.0,1e+20,1e+20,1e+20,1e+20,1e+20
113,b'SDSSJ1301+0834',b' S4TM',0.0902,0.5331,1.0,1.25,1.5,178.0,8.0,1e+20,1e+20,1e+20,1e+20,1e+20
114,b'SDSSJ1330+1750',b' S4TM',0.2074,0.3717,1.01,2.85,1.5,250.0,12.0,1e+20,1e+20,1e+20,1e+20,1e+20
115,b'SDSSJ1403+3309',b' S4TM',0.0625,0.772,1.02,2.0,1.5,190.0,6.0,1e+20,1e+20,1e+20,1e+20,1e+20
